X	Y
0411.5000000000	0440.0000000000
0481.6666666667	0403.0000000000
0675.7500000000	0879.0000000000
0691.0000000000	0290.6666666667
0702.5714285714	0286.5714285714
0738.3333333333	0460.6666666667
0749.7500000000	0315.0000000000
0777.4000000000	0323.2000000000
0784.5000000000	0325.0000000000
0803.0000000000	0329.5000000000
0091.5000000000	0383.5000000000
0123.6666666667	0318.3333333333
0131.5000000000	0171.7500000000
0173.0000000000	0395.2500000000
0184.3333333333	0375.3333333333
0191.5000000000	0342.5000000000
0194.5000000000	0280.5000000000
0342.0000000000	0475.0000000000
0466.5000000000	0505.5000000000
0467.4000000000	0494.8000000000
0466.6666666667	0403.0000000000
0500.5000000000	0381.7500000000
0505.5000000000	0681.2500000000
0696.4285714286	0315.5714285714
0733.5000000000	0348.2500000000
0742.5000000000	0317.5000000000
0767.2000000000	0314.4000000000
0781.6666666667	0330.6666666667
0783.6666666667	0700.3333333333
0788.2000000000	0318.8000000000
0795.2000000000	0322.4000000000
0801.5000000000	0325.5000000000
1060.5000000000	0467.5000000000
1072.7500000000	0464.0000000000
1071.3333333333	0478.6666666667
1072.5000000000	0469.7500000000
0060.6666666667	0207.6666666667
0144.6000000000	0267.2000000000
0163.5000000000	0200.7500000000
0180.5000000000	0209.8333333333
0197.0000000000	0323.0000000000
0324.5000000000	0412.5000000000
0334.0000000000	0483.0000000000
0405.0000000000	0442.0000000000
1065.0000000000	0477.6666666667
1192.5000000000	0997.0000000000
0094.0000000000	0397.5000000000
0099.8000000000	0397.4000000000
0101.5000000000	0388.0000000000
0112.0000000000	0395.0000000000
0143.0000000000	0375.5000000000
0161.5714285714	0235.0000000000
0230.6666666667	0258.3333333333
0237.2500000000	0209.0000000000
0491.1250000000	0523.7500000000
0504.5000000000	0415.5000000000
0541.0000000000	0432.5000000000
0686.5000000000	0299.7500000000
0717.0000000000	0288.5000000000
0721.2500000000	0302.5000000000
0724.2500000000	0286.0000000000
0725.3333333333	0384.3333333333
0789.0000000000	0699.5000000000
0842.2000000000	0764.4000000000
0895.2500000000	0476.7500000000
1006.3333333333	0518.0000000000
1012.6666666667	0517.3333333333
1065.5000000000	0463.0000000000
1067.5000000000	0473.0000000000
1066.6000000000	0488.0000000000
1167.6666666667	0649.6666666667
1202.5000000000	0797.5000000000
1411.5000000000	0670.7500000000
0085.5000000000	0229.0000000000
0110.7500000000	0251.7500000000
0137.0000000000	0167.0000000000
0164.5000000000	0306.0000000000
0177.0000000000	0217.6666666667
0187.2500000000	0205.5000000000
0206.0000000000	0324.3333333333
0304.2000000000	0413.4000000000
0397.0000000000	0420.0000000000
0408.0000000000	0446.3333333333
0440.6666666667	0474.6666666667
0440.5000000000	0485.7500000000
0539.1428571429	0483.7142857143
0544.8333333333	0346.5000000000
0589.3333333333	0498.3333333333
0710.0000000000	0282.0000000000
0716.0000000000	0284.0000000000
0759.0000000000	0345.0000000000
0770.0000000000	0655.0000000000
0791.6666666667	0707.6666666667
1312.0000000000	0723.0000000000
0137.6666666667	0380.6666666667
0150.5000000000	0261.0000000000
0157.5000000000	0192.0000000000
0225.3333333333	0452.3333333333
0297.3333333333	0404.3333333333
0406.5000000000	0432.0000000000
0751.0000000000	0324.7500000000
0889.5000000000	0465.0000000000
0895.0000000000	0469.0000000000
0150.4000000000	0257.2000000000
0217.0000000000	0172.3333333333
0218.0000000000	0463.7500000000
0323.2000000000	0401.8000000000
0342.7500000000	0377.2500000000
0514.6666666667	0385.0000000000
0901.4000000000	1000.0000000000
0996.5000000000	0616.5000000000
1001.3333333333	0525.0000000000
1207.6666666667	0792.0000000000
1371.0000000000	0743.2500000000
1413.6000000000	0737.0000000000
0118.5000000000	0190.0000000000
0161.2500000000	0160.0000000000
0227.0000000000	0178.5000000000
0403.3333333333	0494.0000000000
0482.0000000000	0504.7142857143
0493.0000000000	0513.5000000000
0590.5000000000	0514.5000000000
0760.2500000000	0326.5000000000
0900.2500000000	0652.7500000000
1216.5000000000	0806.0000000000
1358.5000000000	0761.0000000000
0117.5000000000	0512.0000000000
0729.0000000000	0296.0000000000
0757.5000000000	0320.0000000000
0797.1666666667	0483.5000000000
1250.3333333333	0685.3333333333
0118.0000000000	0324.2500000000
0138.5000000000	0271.5000000000
0169.5000000000	0227.5000000000
0144.0000000000	0162.0000000000
0267.0000000000	0337.0000000000
0347.0000000000	0496.0000000000
0230.3333333333	0473.3333333333
0258.0000000000	0317.5000000000
0521.3333333333	0374.3333333333
0661.5000000000	0521.0000000000
0753.0000000000	0681.5000000000
1427.7500000000	0749.3750000000
0162.5000000000	0373.5000000000
0624.8000000000	0474.2000000000
0676.5000000000	0300.5000000000
0709.5000000000	0468.5000000000
0727.5000000000	0471.5000000000
0246.6666666667	0491.3333333333
0746.0000000000	0686.5000000000
1345.0000000000	0718.5000000000
0130.0000000000	0410.0000000000
0183.5000000000	0194.5000000000
0230.5000000000	0489.5000000000
0237.5000000000	0508.5000000000
0074.0000000000	0212.5000000000
0246.5000000000	0526.0000000000
0399.6000000000	0401.0000000000
0490.0000000000	0445.5000000000
0552.0000000000	0435.5000000000
0756.0000000000	0699.5000000000
0765.6666666667	0333.6666666667
0318.0000000000	0371.0000000000
0504.3333333333	0345.3333333333
0477.6666666667	0459.0000000000
0741.0000000000	0382.5000000000
0769.5000000000	0702.0000000000
0150.5000000000	0367.5000000000
1258.5000000000	0699.5000000000
0752.0000000000	0341.0000000000
0158.5000000000	0287.5000000000
0372.5000000000	0386.5000000000
0865.5000000000	0759.5000000000
0685.0000000000	0600.6666666667
0282.0000000000	0357.6666666667
0430.0000000000	0413.3333333333
0382.5000000000	0414.5000000000
0048.6666666667	0331.6666666667
0613.3333333333	0517.6666666667
0807.6666666667	0740.0000000000
0522.5000000000	0696.0000000000
0699.0000000000	0348.0000000000
1186.0000000000	0794.0000000000
1210.0000000000	0850.0000000000
0199.3333333333	0234.0000000000
1163.5000000000	0783.5000000000
1131.0000000000	0731.3333333333
0522.6666666667	0859.6666666667
0651.6666666667	0853.6666666667
0258.5000000000	0434.0000000000
0643.0000000000	0504.0000000000
0176.5000000000	0423.5000000000
1129.0000000000	0794.0000000000
0221.3333333333	0372.0000000000
0642.0000000000	0562.0000000000
0024.0000000000	0528.0000000000
0080.0000000000	0599.0000000000
0088.0000000000	0452.0000000000
0126.0000000000	0557.0000000000
0465.0000000000	0372.0000000000
0568.0000000000	0710.0000000000
0670.0000000000	0460.0000000000
0807.0000000000	0854.0000000000
0808.0000000000	0824.0000000000
0837.0000000000	0986.0000000000
0843.0000000000	0897.0000000000
0856.0000000000	0510.0000000000
0882.0000000000	0564.0000000000
0937.0000000000	0561.0000000000
0944.0000000000	0602.0000000000
0953.0000000000	1018.0000000000
0980.0000000000	0924.0000000000
1200.0000000000	0574.0000000000
1380.0000000000	0918.0000000000
1491.0000000000	0680.0000000000
