X	Y
0411.5000000000	0440.0000000000
0481.0000000000	0403.0000000000
0675.5000000000	0878.0000000000
0691.0000000000	0291.0000000000
0703.0000000000	0285.0000000000
0739.0000000000	0462.0000000000
0749.5000000000	0315.0000000000
0777.0000000000	0324.0000000000
0784.5000000000	0325.0000000000
0803.5000000000	0329.5000000000
0091.5000000000	0383.5000000000
0124.0000000000	0318.0000000000
0132.5000000000	0171.0000000000
0173.5000000000	0394.5000000000
0187.0000000000	0376.0000000000
0191.5000000000	0342.5000000000
0194.5000000000	0280.5000000000
0342.0000000000	0474.0000000000
0466.5000000000	0505.5000000000
0469.0000000000	0495.0000000000
0472.0000000000	0402.0000000000
0500.5000000000	0379.5000000000
0505.5000000000	0682.5000000000
0696.0000000000	0317.0000000000
0733.5000000000	0346.0000000000
0742.5000000000	0317.5000000000
0768.0000000000	0315.0000000000
0780.0000000000	0329.0000000000
0784.0000000000	0700.0000000000
0789.0000000000	0321.0000000000
0795.0000000000	0322.0000000000
0801.5000000000	0325.5000000000
1061.0000000000	0467.5000000000
1072.0000000000	0464.5000000000
1071.0000000000	0479.0000000000
1073.0000000000	0469.5000000000
0063.0000000000	0209.0000000000
0145.0000000000	0267.0000000000
0166.0000000000	0198.5000000000
0180.5000000000	0212.0000000000
0197.0000000000	0323.0000000000
0325.5000000000	0412.0000000000
0334.0000000000	0483.0000000000
0405.0000000000	0442.0000000000
1065.0000000000	0477.0000000000
1193.0000000000	0999.0000000000
0094.0000000000	0397.5000000000
0099.0000000000	0397.0000000000
0101.5000000000	0388.0000000000
0112.0000000000	0395.0000000000
0143.0000000000	0375.5000000000
0163.0000000000	0235.0000000000
0227.0000000000	0266.0000000000
0237.5000000000	0209.0000000000
0489.5000000000	0524.5000000000
0502.5000000000	0412.0000000000
0541.0000000000	0432.5000000000
0687.5000000000	0298.5000000000
0717.0000000000	0288.5000000000
0721.0000000000	0301.0000000000
0723.5000000000	0285.5000000000
0726.0000000000	0385.0000000000
0789.0000000000	0699.5000000000
0842.0000000000	0768.0000000000
0895.5000000000	0477.0000000000
1006.0000000000	0519.0000000000
1012.0000000000	0517.0000000000
1065.5000000000	0463.0000000000
1067.5000000000	0473.0000000000
1067.0000000000	0488.0000000000
1165.0000000000	0651.0000000000
1202.5000000000	0795.5000000000
1411.5000000000	0670.5000000000
0085.0000000000	0230.0000000000
0109.0000000000	0251.0000000000
0137.0000000000	0167.0000000000
0160.0000000000	0306.5000000000
0177.0000000000	0217.0000000000
0187.5000000000	0206.0000000000
0203.0000000000	0324.0000000000
0305.0000000000	0411.0000000000
0397.0000000000	0420.0000000000
0408.0000000000	0446.0000000000
0440.0000000000	0478.0000000000
0443.5000000000	0485.5000000000
0536.0000000000	0489.0000000000
0545.0000000000	0345.0000000000
0588.0000000000	0499.0000000000
0710.0000000000	0282.0000000000
0716.0000000000	0284.0000000000
0759.0000000000	0345.0000000000
0770.0000000000	0655.0000000000
0789.0000000000	0708.0000000000
1312.0000000000	0723.0000000000
0138.0000000000	0377.0000000000
0150.5000000000	0261.0000000000
0157.5000000000	0192.0000000000
0224.0000000000	0457.0000000000
0301.0000000000	0406.0000000000
0406.5000000000	0432.0000000000
0751.5000000000	0325.0000000000
0889.5000000000	0465.0000000000
0895.0000000000	0468.0000000000
0150.0000000000	0258.0000000000
0220.0000000000	0172.0000000000
0219.0000000000	0464.0000000000
0324.0000000000	0403.0000000000
0342.5000000000	0377.5000000000
0513.0000000000	0385.0000000000
0896.0000000000	0999.0000000000
0996.5000000000	0616.5000000000
1001.0000000000	0524.0000000000
1207.0000000000	0792.0000000000
1371.0000000000	0743.0000000000
1415.0000000000	0740.0000000000
0118.5000000000	0190.0000000000
0156.0000000000	0160.0000000000
0227.0000000000	0178.5000000000
0403.0000000000	0498.0000000000
0483.0000000000	0505.0000000000
0493.0000000000	0513.5000000000
0591.0000000000	0515.0000000000
0760.0000000000	0326.5000000000
0903.5000000000	0658.0000000000
1216.5000000000	0806.0000000000
1358.5000000000	0761.0000000000
0117.5000000000	0512.0000000000
0729.0000000000	0296.0000000000
0757.5000000000	0320.0000000000
0802.0000000000	0484.5000000000
1250.0000000000	0687.0000000000
0117.5000000000	0324.0000000000
0138.5000000000	0271.5000000000
0169.5000000000	0227.5000000000
0144.0000000000	0162.0000000000
0267.0000000000	0337.0000000000
0347.0000000000	0496.0000000000
0229.0000000000	0472.0000000000
0258.5000000000	0318.0000000000
0519.0000000000	0375.0000000000
0661.5000000000	0521.0000000000
0753.0000000000	0681.5000000000
1428.5000000000	0750.5000000000
0162.5000000000	0373.5000000000
0623.0000000000	0480.0000000000
0676.5000000000	0300.5000000000
0709.5000000000	0468.5000000000
0727.5000000000	0471.5000000000
0244.0000000000	0493.0000000000
0746.0000000000	0686.5000000000
1345.0000000000	0718.5000000000
0130.0000000000	0410.0000000000
0183.5000000000	0194.5000000000
0230.5000000000	0489.5000000000
0237.5000000000	0508.5000000000
0074.0000000000	0212.5000000000
0246.5000000000	0526.0000000000
0401.0000000000	0401.0000000000
0490.0000000000	0445.5000000000
0552.0000000000	0435.5000000000
0756.0000000000	0699.5000000000
0764.0000000000	0332.0000000000
0318.0000000000	0371.0000000000
0505.0000000000	0346.0000000000
0477.0000000000	0457.0000000000
0741.0000000000	0382.5000000000
0769.5000000000	0702.0000000000
0150.5000000000	0367.5000000000
1258.5000000000	0699.5000000000
0752.0000000000	0341.0000000000
