X	Y
0034.8000000000	0514.6000000000
0034.9318181818	0404.7272727273
0066.0000000000	0529.3333333333
0088.8888888889	0364.6666666667
0119.9166666667	0283.1666666667
0116.2459016393	0173.0983606557
0120.5000000000	0420.0500000000
0135.8125000000	0191.8125000000
0138.0000000000	0316.5000000000
0155.4878048780	0210.1707317073
0173.0000000000	0232.5000000000
0194.5238095238	0312.9047619048
0219.8000000000	0282.2000000000
0250.7500000000	0479.3750000000
0250.0000000000	0358.0000000000
0252.2608695652	0254.8695652174
0259.9714285714	0082.7714285714
0241.8000000000	0446.5272727273
0277.9600000000	0239.6400000000
0328.5000000000	0391.5000000000
0345.6000000000	0424.6000000000
0353.4705882353	0326.4117647059
0366.6666666667	0410.9393939394
0382.2689655172	0354.2413793103
0390.2142857143	0436.5000000000
0390.1428571429	0330.0000000000
0415.2500000000	0470.2500000000
0426.0989010989	0364.5054945055
0454.1111111111	0377.2222222222
0465.4000000000	0813.1500000000
0480.5862068966	0836.0689655172
0483.5238095238	0425.9047619048
0498.2857142857	0503.0000000000
0489.5232558140	0373.0581395349
0529.0697674419	0297.2906976744
0515.8300653595	0416.7581699346
0528.7000000000	0959.7000000000
0544.5000000000	0533.5000000000
0544.2500000000	0391.5000000000
0545.8888888889	0420.2222222222
0563.1904761905	0903.0714285714
0575.3478260870	0432.1217391304
0585.6842105263	0469.0000000000
0603.0000000000	0511.3636363636
0614.7777777778	0451.2222222222
0600.9247311828	0858.3118279570
0608.4545454545	0424.0909090909
0624.1250000000	0667.1250000000
0628.6250000000	0866.6250000000
0616.1734104046	0832.2947976879
0617.3904761905	0485.3047619048
0640.0555555556	0447.7777777778
0654.0000000000	0705.2500000000
0648.3076923077	0555.2307692308
0652.4186046512	0488.4186046512
0670.1428571429	0633.8571428571
0675.6000000000	0836.2000000000
0671.3333333333	0574.3333333333
0679.1034482759	0500.6206896552
0699.5284090909	0536.8920454545
0700.5845070423	0615.2676056338
0702.7500000000	0586.7500000000
0712.7931034483	0706.8965517241
0724.2500000000	0730.5000000000
0730.1294117647	0538.6470588235
0727.3846153846	0574.2307692308
0726.6521739130	0465.0434782609
0733.5000000000	0616.0000000000
0736.0000000000	0510.5000000000
0735.3937007874	0646.5669291339
0741.1428571429	1035.1428571429
0747.0000000000	0557.1428571429
0750.3333333333	0788.3333333333
0748.0000000000	0682.2000000000
0757.4000000000	0481.2000000000
0758.7542372881	0659.0593220339
0771.6330935252	0581.0071942446
0767.0909090909	1056.5454545455
0788.0630797774	0675.4025974026
0781.0384615385	0606.3076923077
0783.3243243243	0849.2702702703
0787.0000000000	0649.5000000000
0794.0714285714	0500.2857142857
0787.8421052632	0705.2456140351
0782.3636363636	0819.8181818182
0798.1123595506	0755.2696629213
0810.0000000000	0840.5000000000
0810.6666666667	0917.3333333333
0817.8888888889	0773.0000000000
0809.1666666667	1034.6666666667
0819.4000000000	0492.6000000000
0823.3000000000	0719.3000000000
0818.8297872340	0598.0000000000
0820.5131578947	0545.3947368421
0842.9400000000	1012.9800000000
0843.7777777778	0943.5555555556
0847.9333333333	0502.4000000000
0835.6315789474	0665.9473684211
0865.2460937500	0685.4882812500
0859.3076923077	0569.1153846154
0865.1428571429	0620.7321428571
0886.7222222222	0645.0000000000
0882.0942028986	1053.9710144928
0887.6250000000	0598.6250000000
0871.8588235294	0521.7176470588
0888.6923076923	0555.3846153846
0890.4477611940	0698.2089552239
0896.8888888889	0670.3333333333
0894.1133004926	0923.0640394089
0908.9000000000	0526.1000000000
0915.5714285714	0853.0476190476
0914.5757575758	0643.7272727273
0912.1666666667	0606.0555555556
0928.2500000000	0776.0000000000
0926.3774509804	0679.4191176471
0928.9090909091	0559.6363636364
0934.0000000000	0622.5000000000
0935.3333333333	0820.0000000000
0924.4444444444	0942.4444444444
0935.2307692308	0873.3076923077
0941.2000000000	0526.8000000000
0950.0260869565	0649.5739130435
0951.1111111111	1003.1111111111
0954.5000000000	0678.0000000000
0944.6000000000	0905.9142857143
0960.5714285714	0567.5714285714
0952.2817679558	0959.6132596685
0971.3333333333	0917.0000000000
0978.4000000000	0978.0000000000
0983.1428571429	0700.6428571429
0979.4025974026	0732.2727272727
1007.5652173913	0673.0386473430
1010.6666666667	0997.7500000000
1018.7142857143	0722.4489795918
1020.2500000000	0603.5625000000
1010.6800000000	0639.0000000000
1041.1538461538	1017.5384615385
1052.2727272727	0624.8181818182
1038.3454545455	0658.5909090909
1047.1555555556	0701.6888888889
1094.4687500000	0719.5000000000
1099.0000000000	0778.5000000000
1101.2222222222	0624.7777777778
1088.6949152542	0820.9491525424
1106.0000000000	0671.1666666667
1122.2000000000	0841.4000000000
1121.0000000000	0795.6000000000
1127.1666666667	0720.7000000000
1131.6000000000	0695.4000000000
1132.0000000000	0661.5000000000
1116.2203389831	0751.1016949153
1148.0000000000	0875.5000000000
1135.6896551724	0636.5517241379
1144.2222222222	0980.0555555556
1154.2500000000	0803.0833333333
1158.3333333333	0947.3333333333
1158.7857142857	0725.2857142857
1165.6842105263	0901.6842105263
1171.1818181818	0764.5909090909
1175.1666666667	0633.5000000000
1184.6000000000	0683.8000000000
1177.5555555556	0976.2867383513
1204.1034482759	0921.2413793103
1210.0000000000	0707.7500000000
1210.1538461538	0960.1538461538
1198.9558823529	0772.3970588235
1206.1250000000	0660.8750000000
1216.9487179487	0820.1318681319
1221.0000000000	0854.3000000000
1230.6677524430	0770.0781758958
1242.3044776119	0821.0179104478
1259.5131578947	0781.6052631579
1274.2500000000	0708.7500000000
1257.7948717949	0749.4102564103
1290.0909090909	0729.0000000000
1275.3826086957	0810.0556521739
1289.0789473684	0847.2894736842
1304.5000000000	0994.0000000000
1303.9016393443	0801.4426229508
1306.5000000000	1020.9090909091
1323.6666666667	0734.3333333333
1311.5000000000	0833.6488095238
1326.2727272727	1059.0909090909
1342.7142857143	0854.5714285714
1347.5000000000	1015.0000000000
1351.5000000000	1054.0000000000
1345.3333333333	0777.9166666667
1350.0000000000	0988.8333333333
1373.4363636364	0749.4272727273
1382.8913043478	1013.5652173913
1400.6126760563	0854.4225352113
1400.8571428571	0900.0000000000
1405.6666666667	0991.1111111111
1449.1081081081	0777.0000000000
1508.2790697674	0849.2325581395
1535.0975609756	0880.5853658537
1560.0000000000	0869.0000000000
0212.6666666667	0209.6666666667
0272.3750000000	0295.7500000000
0320.1509433962	0314.7201257862
0507.5000000000	0985.0000000000
0543.0000000000	0936.9473684211
0554.0481927711	0295.7108433735
0632.5000000000	0606.5000000000
0651.2500000000	0775.7500000000
0634.9396551724	0514.3620689655
0705.5365853659	0665.2195121951
0756.6956521739	0627.7391304348
0765.8070175439	0537.7719298246
0899.5000000000	0972.5000000000
1074.1818181818	0637.6363636364
1305.4666666667	0895.8000000000
0672.0000000000	0536.4000000000
0761.5370370370	0715.6111111111
0938.7460317460	0710.1507936508
0230.0000000000	0228.5000000000
0579.5000000000	0315.0000000000
0905.6666666667	0744.0000000000
0914.4000000000	0993.0909090909
0996.1176470588	0762.8235294118
1236.8888888889	0696.8888888889
0848.8780487805	1043.3707317073
1000.5000000000	0579.0000000000
1406.3333333333	0754.0000000000
0789.5000000000	0556.0000000000
0680.4000000000	0677.6000000000
0688.6666666667	0450.0000000000
0794.2500000000	0531.2500000000
0955.5000000000	0784.5000000000
0964.0000000000	0612.0000000000
1152.0000000000	1037.5000000000
0197.5000000000	0261.0000000000
0242.0000000000	0410.0000000000
0278.0000000000	0343.0000000000
0281.0000000000	0105.0000000000
0307.0000000000	0365.0000000000
0310.0000000000	0416.0000000000
0312.0000000000	0284.0000000000
0450.0000000000	0445.0000000000
0589.0000000000	0791.0000000000
0649.0000000000	0744.0000000000
0707.0000000000	0495.0000000000
0789.0000000000	0781.0000000000
0822.0000000000	0870.0000000000
0870.0000000000	0758.0000000000
1068.0000000000	0667.0000000000
1079.0000000000	0612.0000000000
1082.0000000000	0989.0000000000
1157.0000000000	0697.0000000000
1162.0000000000	1004.0000000000
1185.0000000000	0710.0000000000
1190.0000000000	0945.0000000000
1196.0000000000	0834.0000000000
1199.0000000000	0741.0000000000
1319.0000000000	0781.0000000000
1382.0000000000	1043.0000000000
1435.0000000000	0841.0000000000
1495.0000000000	0827.0000000000
1507.0000000000	0893.0000000000
